trans_id,lang,translation
上萩原,zh-tw,上萩原
荒谷,ja,荒谷
荒谷,ja-Hrkt,あらたに
荒谷,en,Aratani
荒谷,ko,아라타니
荒谷,zh-cn,荒谷
荒谷,zh-tw,荒谷
安佐動物公園,ja,安佐動物公園
安佐動物公園,ja-Hrkt,あさどうぶつこうえん
安佐動物公園,en,Asa Dobutsu Koen (Asa Zoo)
安佐動物公園,ko,아사 동물 공원
安佐動物公園,zh-cn,安佐动物公园
安佐動物公園,zh-tw,安佐動物公園
後山上,ja,後山上
後山上,ja-Hrkt,うしろやまかみ
後山上,en,Ushiroyama-kami
後山上,ko,우시로야마 카미
後山上,zh-cn,后山上
後山上,zh-tw,後山上
あさひが丘下,ja,あさひが丘下
あさひが丘下,ja-Hrkt,あさひがおかしも
あさひが丘下,en,Asahigaoka-shimo
あさひが丘下,ko,아사히가오카 시모
あさひが丘下,zh-cn,旭丘下
あさひが丘下,zh-tw,旭丘下
あさひが丘中,ja,あさひが丘中
あさひが丘中,ja-Hrkt,あさひがおかなか
あさひが丘中,en,Asahigaoka-naka
あさひが丘中,ko,아사히가오카 나카
あさひが丘中,zh-cn,旭丘中
あさひが丘中,zh-tw,旭丘中
あさひが丘上,ja,あさひが丘上
あさひが丘上,ja-Hrkt,あさひがおかかみ
あさひが丘上,en,Asahigaoka-kami
あさひが丘上,ko,아사히가오카 카미
あさひが丘上,zh-cn,旭丘上
あさひが丘上,zh-tw,旭丘上
県営あさひが丘住宅,ja,県営あさひが丘住宅
県営あさひが丘住宅,ja-Hrkt,けんえいあさひがおかじゅうたく
県営あさひが丘住宅,en,Kenei Asahigaoka Jutaku
県営あさひが丘住宅,ko,겐에이 아사히가오카 주타쿠
県営あさひが丘住宅,zh-cn,县营旭丘住宅
県営あさひが丘住宅,zh-tw,縣營旭丘住宅
あさひが丘１番,ja,あさひが丘１番
あさひが丘１番,ja-Hrkt,あさひがおかいちばん
あさひが丘１番,en,Asahigaoka-ichiban
あさひが丘１番,ko,아사히가오카 1반
あさひが丘１番,zh-cn,旭丘1番
あさひが丘１番,zh-tw,旭丘1番
あさひが丘２番,ja,あさひが丘２番
あさひが丘２番,ja-Hrkt,あさひがおかにばん
あさひが丘２番,en,Asahigaoka-niban
あさひが丘２番,ko,아사히가오카 2반
あさひが丘２番,zh-cn,旭丘2番
あさひが丘２番,zh-tw,旭丘2番
あさひが丘３番,ja,あさひが丘３番
あさひが丘３番,ja-Hrkt,あさひがおかさんばん
あさひが丘３番,en,Asahigaoka-samban
あさひが丘３番,ko,아사히가오카 3반
あさひが丘３番,zh-cn,旭丘3番
あさひが丘３番,zh-tw,旭丘3番
楽々園,ja,楽々園
楽々園,ja-Hrkt,らくらくえん
楽々園,en,Rakurakuen
楽々園,ko,라쿠라쿠엔
楽々園,zh-cn,乐乐园
楽々園,zh-tw,樂樂園
五月が丘公園前,ja,五月が丘公園前
五月が丘公園前,ja-Hrkt,さつきがおかこうえんまえ
五月が丘公園前,en,Satsukigaoka Koen-mae (Satsukigaoka Koen-mae)
五月が丘公園前,ko,사쓰키가오카 공원
五月が丘公園前,zh-cn,五月丘公园前
五月が丘公園前,zh-tw,五月丘公園前
五月が丘一丁目中,ja,五月が丘一丁目中
五月が丘一丁目中,ja-Hrkt,さつきがおかいっちょうめなか
五月が丘一丁目中,en,Satsukigaoka-itchome-naka (Satsukigaoka 1-naka)
五月が丘一丁目中,ko,사쓰키가오카 1초메 나카
五月が丘一丁目中,zh-cn,五月丘一丁目中
五月が丘一丁目中,zh-tw,五月丘一丁目中
五月が丘三丁目中,ja,五月が丘三丁目中
五月が丘三丁目中,ja-Hrkt,さつきがおかさんちょうめなか
五月が丘三丁目中,en,Satsukigaoka-sanchome-naka (Satsukigaoka 3-naka)
五月が丘三丁目中,ko,사쓰키가오카 3초메 나카
五月が丘三丁目中,zh-cn,五月丘三丁目中
五月が丘三丁目中,zh-tw,五月丘三丁目中
広島高等技術専門校,ja,広島高等技術専門校
